Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-24 , testcase , loop , package , 33.877166748046875000, core , 17.526397705078125000, gpu ,  0 , dram ,  6.110961914062500000, VMPEAK ,    8236 , time , 1131 
compiler , js-24 , testcase , loop , package , 37.217147827148437500, core , 23.176361083984375000, gpu ,  0 , dram ,  5.106506347656250000, VMPEAK ,    8236 , time , 973 
compiler , js-24 , testcase , loop , package , 37.866561889648437500, core , 23.590118408203125000, gpu ,  0 , dram ,  5.147857666015625000, VMPEAK ,    8236 , time , 987 
compiler , js-24 , testcase , loop , package , 30.577484130859375000, core , 19.080474853515625000, gpu ,  0 , dram ,  4.195419311523437500, VMPEAK ,    8236 , time , 795 
compiler , js-24 , testcase , loop , package , 30.663009643554687500, core , 19.142578125000000000, gpu ,  0 , dram ,  4.214553833007812500, VMPEAK ,    8236 , time , 796 
compiler , js-24 , testcase , loop , package , 30.655288696289062500, core , 19.132308959960937500, gpu ,  0 , dram ,  4.212493896484375000, VMPEAK ,    8236 , time , 797 
compiler , js-24 , testcase , loop , package , 37.851608276367187500, core , 23.580856323242187500, gpu ,  0 , dram ,  5.185653686523437500, VMPEAK ,    8236 , time , 987 
compiler , js-24 , testcase , loop , package , 38.103668212890625000, core , 23.745864868164062500, gpu ,  0 , dram ,  5.290939331054687500, VMPEAK ,    8236 , time , 992 
compiler , js-24 , testcase , loop , package , 38.369400024414062500, core , 23.918792724609375000, gpu ,  0 , dram ,  5.237442016601562500, VMPEAK ,    8236 , time , 998 
compiler , js-24 , testcase , loop , package , 39.010452270507812500, core , 24.328964233398437500, gpu ,  0 , dram ,  5.376602172851562500, VMPEAK ,    8236 , time , 1013 
