Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js , testcase , loop , package , 5.657257080078125000, core , 4.218719482421875000, gpu ,  0 , dram ,  1.097015380859375000, VMPEAK ,    8292 , time , 127 
compiler , js , testcase , loop , package , 5.490814208984375000, core , 4.153182983398437500, gpu ,  0 , dram ,  1.020492553710937500, VMPEAK ,    8292 , time , 118 
compiler , js , testcase , loop , package , 5.723815917968750000, core , 4.328002929687500000, gpu ,  0 , dram ,  1.074340820312500000, VMPEAK ,    8292 , time , 121 
compiler , js , testcase , loop , package , 5.629409790039062500, core , 4.257080078125000000, gpu ,  0 , dram ,  1.048263549804687500, VMPEAK ,    8292 , time , 120 
compiler , js , testcase , loop , package , 5.168395996093750000, core , 3.910354614257812500, gpu ,  0 , dram ,  0.966873168945312500, VMPEAK ,    8292 , time , 110 
compiler , js , testcase , loop , package , 5.819076538085937500, core , 4.401245117187500000, gpu ,  0 , dram ,  1.083038330078125000, VMPEAK ,    8292 , time , 124 
compiler , js , testcase , loop , package , 6.239074707031250000, core , 4.718383789062500000, gpu ,  0 , dram ,  1.179244995117187500, VMPEAK ,    8292 , time , 133 
compiler , js , testcase , loop , package , 5.913558959960937500, core , 4.473495483398437500, gpu ,  0 , dram ,  1.109878540039062500, VMPEAK ,    8292 , time , 126 
compiler , js , testcase , loop , package , 5.872055053710937500, core , 4.442825317382812500, gpu ,  0 , dram ,  1.091308593750000000, VMPEAK ,    8292 , time , 126 
compiler , js , testcase , loop , package , 5.777404785156250000, core , 4.371139526367187500, gpu ,  0 , dram ,  1.081970214843750000, VMPEAK ,    8292 , time , 123 
