Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , d8 , testcase , mandelbrot , package , 11.411331176757812500, core , 8.584960937500000000, gpu ,  0 , dram ,  2.186050415039062500, VMPEAK ,    8292 , time , 249 
compiler , d8 , testcase , mandelbrot , package , 11.628982543945312500, core , 8.810653686523437500, gpu ,  0 , dram ,  2.168029785156250000, VMPEAK ,    8292 , time , 248 
compiler , d8 , testcase , mandelbrot , package , 11.310333251953125000, core , 8.571655273437500000, gpu ,  0 , dram ,  2.123764038085937500, VMPEAK ,    8292 , time , 240 
compiler , d8 , testcase , mandelbrot , package , 11.358566284179687500, core , 8.609283447265625000, gpu ,  0 , dram ,  2.123886108398437500, VMPEAK ,    8292 , time , 241 
compiler , d8 , testcase , mandelbrot , package , 11.368270874023437500, core , 8.619094848632812500, gpu ,  0 , dram ,  2.115097045898437500, VMPEAK ,    8292 , time , 241 
compiler , d8 , testcase , mandelbrot , package , 11.365249633789062500, core , 8.616058349609375000, gpu ,  0 , dram ,  2.105957031250000000, VMPEAK ,    8292 , time , 243 
compiler , d8 , testcase , mandelbrot , package , 11.364639282226562500, core , 8.615447998046875000, gpu ,  0 , dram ,  2.114990234375000000, VMPEAK ,    8292 , time , 241 
compiler , d8 , testcase , mandelbrot , package , 11.319946289062500000, core , 8.581512451171875000, gpu ,  0 , dram ,  2.106002807617187500, VMPEAK ,    8292 , time , 241 
compiler , d8 , testcase , mandelbrot , package , 11.324127197265625000, core , 8.586547851562500000, gpu ,  0 , dram ,  2.114959716796875000, VMPEAK ,    8292 , time , 241 
compiler , d8 , testcase , mandelbrot , package , 11.368972778320312500, core , 8.619979858398437500, gpu ,  0 , dram ,  2.115020751953125000, VMPEAK ,    8292 , time , 242 
