Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jsc , testcase , mandelbrot , package , 96.186706542968750000, core , 72.036560058593750000, gpu ,  0 , dram ,  18.609298706054687500, VMPEAK ,    8292 , time , 2124 
compiler , jsc , testcase , mandelbrot , package , 98.551116943359375000, core , 73.887298583984375000, gpu ,  0 , dram ,  18.963226318359375000, VMPEAK ,    8292 , time , 2167 
compiler , jsc , testcase , mandelbrot , package , 98.483230590820312500, core , 73.845245361328125000, gpu ,  0 , dram ,  18.936035156250000000, VMPEAK ,    8292 , time , 2166 
compiler , jsc , testcase , mandelbrot , package , 96.723464965820312500, core , 72.541625976562500000, gpu ,  0 , dram ,  18.556701660156250000, VMPEAK ,    8292 , time , 2125 
compiler , jsc , testcase , mandelbrot , package , 96.349563598632812500, core , 72.269012451171875000, gpu ,  0 , dram ,  18.547286987304687500, VMPEAK ,    8292 , time , 2117 
compiler , jsc , testcase , mandelbrot , package , 96.437210083007812500, core , 72.345901489257812500, gpu ,  0 , dram ,  18.511611938476562500, VMPEAK ,    8292 , time , 2118 
compiler , jsc , testcase , mandelbrot , package , 96.708251953125000000, core , 72.569747924804687500, gpu ,  0 , dram ,  18.494003295898437500, VMPEAK ,    8292 , time , 2121 
compiler , jsc , testcase , mandelbrot , package , 98.600433349609375000, core , 73.980590820312500000, gpu ,  0 , dram ,  18.968643188476562500, VMPEAK ,    8292 , time , 2165 
compiler , jsc , testcase , mandelbrot , package , 97.257766723632812500, core , 72.997909545898437500, gpu ,  0 , dram ,  18.662582397460937500, VMPEAK ,    8292 , time , 2132 
compiler , jsc , testcase , mandelbrot , package , 96.857955932617187500, core , 72.697387695312500000, gpu ,  0 , dram ,  18.626754760742187500, VMPEAK ,    8292 , time , 2123 
