Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , node , testcase , mandelbrot , package , 3.458984375000000000, core , 2.524185180664062500, gpu ,  0 , dram ,  0.727203369140625000, VMPEAK ,    8292 , time , 82 
compiler , node , testcase , mandelbrot , package , 3.444107055664062500, core , 2.587356567382812500, gpu ,  0 , dram ,  0.657150268554687500, VMPEAK ,    8292 , time , 74 
compiler , node , testcase , mandelbrot , package , 3.398880004882812500, core , 2.553680419921875000, gpu ,  0 , dram ,  0.658767700195312500, VMPEAK ,    8292 , time , 74 
compiler , node , testcase , mandelbrot , package , 3.447113037109375000, core , 2.590347290039062500, gpu ,  0 , dram ,  0.657699584960937500, VMPEAK ,    8292 , time , 74 
compiler , node , testcase , mandelbrot , package , 3.402694702148437500, core , 2.557388305664062500, gpu ,  0 , dram ,  0.647552490234375000, VMPEAK ,    8292 , time , 74 
compiler , node , testcase , mandelbrot , package , 3.448242187500000000, core , 2.591522216796875000, gpu ,  0 , dram ,  0.665252685546875000, VMPEAK ,    8292 , time , 74 
compiler , node , testcase , mandelbrot , package , 3.404647827148437500, core , 2.559097290039062500, gpu ,  0 , dram ,  0.656417846679687500, VMPEAK ,    8292 , time , 74 
compiler , node , testcase , mandelbrot , package , 3.449157714843750000, core , 2.592529296875000000, gpu ,  0 , dram ,  0.666015625000000000, VMPEAK ,    8292 , time , 74 
compiler , node , testcase , mandelbrot , package , 3.402572631835937500, core , 2.557083129882812500, gpu ,  0 , dram ,  0.656356811523437500, VMPEAK ,    8292 , time , 74 
compiler , node , testcase , mandelbrot , package , 3.403900146484375000, core , 2.558486938476562500, gpu ,  0 , dram ,  0.647979736328125000, VMPEAK ,    8292 , time , 75 
