Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , rhino-jit , testcase , mandelbrot , package , 127.286239624023437500, core , 96.035720825195312500, gpu ,  0 , dram ,  24.143615722656250000, VMPEAK ,    8292 , time , 2721 
compiler , rhino-jit , testcase , mandelbrot , package , 134.032516479492187500, core , 101.103271484375000000, gpu ,  0 , dram ,  25.508438110351562500, VMPEAK ,    8292 , time , 2867 
compiler , rhino-jit , testcase , mandelbrot , package , 131.366088867187500000, core , 99.026535034179687500, gpu ,  0 , dram ,  25.045654296875000000, VMPEAK ,    8292 , time , 2813 
compiler , rhino-jit , testcase , mandelbrot , package , 130.799240112304687500, core , 98.616424560546875000, gpu ,  0 , dram ,  24.908798217773437500, VMPEAK ,    8292 , time , 2797 
compiler , rhino-jit , testcase , mandelbrot , package , 131.756759643554687500, core , 99.274505615234375000, gpu ,  0 , dram ,  25.240295410156250000, VMPEAK ,    8292 , time , 2824 
compiler , rhino-jit , testcase , mandelbrot , package , 129.509490966796875000, core , 97.764175415039062500, gpu ,  0 , dram ,  24.711746215820312500, VMPEAK ,    8292 , time , 2760 
compiler , rhino-jit , testcase , mandelbrot , package , 134.641540527343750000, core , 101.507278442382812500, gpu ,  0 , dram ,  25.820022583007812500, VMPEAK ,    8292 , time , 2880 
compiler , rhino-jit , testcase , mandelbrot , package , 127.691040039062500000, core , 96.314971923828125000, gpu ,  0 , dram ,  24.286529541015625000, VMPEAK ,    8292 , time , 2726 
compiler , rhino-jit , testcase , mandelbrot , package , 131.015960693359375000, core , 98.852294921875000000, gpu ,  0 , dram ,  25.031570434570312500, VMPEAK ,    8292 , time , 2794 
compiler , rhino-jit , testcase , mandelbrot , package , 128.565383911132812500, core , 96.985076904296875000, gpu ,  0 , dram ,  24.601470947265625000, VMPEAK ,    8292 , time , 2743 
