Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , rhino-nojit , testcase , mandelbrot , package , 13348.345947265625000000, core , 8534.949691772460937500, gpu ,  0 , dram ,  1951.642456054687500000, VMPEAK ,    8236 , time , 330313 
compiler , rhino-nojit , testcase , mandelbrot , package , -52015.924179077148437500, core , 8682.292755126953125000, gpu ,  0 , dram ,  1951.768951416015625000, VMPEAK ,    8236 , time , 329981 
compiler , rhino-nojit , testcase , mandelbrot , package , 13428.143325805664062500, core , 8638.591445922851562500, gpu ,  0 , dram ,  1938.840591430664062500, VMPEAK ,    8236 , time , 326069 
compiler , rhino-nojit , testcase , mandelbrot , package , 13549.775283813476562500, core , 8709.837890625000000000, gpu ,  0 , dram ,  1956.446624755859375000, VMPEAK ,    8236 , time , 329534 
compiler , rhino-nojit , testcase , mandelbrot , package , 13660.386657714843750000, core , 8780.933593750000000000, gpu ,  0 , dram ,  1970.395141601562500000, VMPEAK ,    8236 , time , 332109 
compiler , rhino-nojit , testcase , mandelbrot , package , 13297.633926391601562500, core , -56981.941482543945312500, gpu ,  0 , dram ,  1911.314987182617187500, VMPEAK ,    8236 , time , 323034 
compiler , rhino-nojit , testcase , mandelbrot , package , -52337.584884643554687500, core , 8488.478591918945312500, gpu ,  0 , dram ,  1903.644287109375000000, VMPEAK ,    8236 , time , 320834 
compiler , rhino-nojit , testcase , mandelbrot , package , 13484.299652099609375000, core , 8666.854232788085937500, gpu ,  0 , dram ,  1920.281829833984375000, VMPEAK ,    8236 , time , 328134 
compiler , rhino-nojit , testcase , mandelbrot , package , 13735.357940673828125000, core , 8840.500534057617187500, gpu ,  0 , dram ,  1951.753677368164062500, VMPEAK ,    8236 , time , 333394 
compiler , rhino-nojit , testcase , mandelbrot , package , 13447.341537475585937500, core , 8643.746704101562500000, gpu ,  0 , dram ,  1906.145645141601562500, VMPEAK ,    8236 , time , 327127 
