Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , espruino , testcase , n-body , package , 18053.863250732421875000, core , 13691.171737670898437500, gpu ,  0 , dram ,  3322.333740234375000000, VMPEAK ,    8292 , time , 381146 
compiler , espruino , testcase , n-body , package , -47495.423751831054687500, core , 13687.121536254882812500, gpu ,  0 , dram ,  3291.828399658203125000, VMPEAK ,    8292 , time , 379939 
compiler , espruino , testcase , n-body , package , 18054.456176757812500000, core , -51837.344970703125000000, gpu ,  0 , dram ,  3306.242935180664062500, VMPEAK ,    8292 , time , 380094 
compiler , espruino , testcase , n-body , package , 18039.308090209960937500, core , 13689.530136108398437500, gpu ,  0 , dram ,  3306.301300048828125000, VMPEAK ,    8292 , time , 379591 
compiler , espruino , testcase , n-body , package , 18051.885589599609375000, core , 13696.626953125000000000, gpu ,  0 , dram ,  3316.873077392578125000, VMPEAK ,    8292 , time , 379993 
compiler , espruino , testcase , n-body , package , -47404.161697387695312500, core , 13757.475677490234375000, gpu ,  0 , dram ,  3330.258651733398437500, VMPEAK ,    8292 , time , 381494 
compiler , espruino , testcase , n-body , package , 18118.673034667968750000, core , 13744.431274414062500000, gpu ,  0 , dram ,  -62210.385482788085937500, VMPEAK ,    8292 , time , 381441 
compiler , espruino , testcase , n-body , package , 18052.610687255859375000, core , -51842.642425537109375000, gpu ,  0 , dram ,  3318.988601684570312500, VMPEAK ,    8292 , time , 380289 
compiler , espruino , testcase , n-body , package , 18060.774765014648437500, core , 13704.852584838867187500, gpu ,  0 , dram ,  3315.494323730468750000, VMPEAK ,    8292 , time , 380346 
compiler , espruino , testcase , n-body , package , -47491.006149291992187500, core , 13692.438491821289062500, gpu ,  0 , dram ,  3307.081192016601562500, VMPEAK ,    8292 , time , 379639 
