Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-gengc , testcase , n-body , package , 13279.716903686523437500, core , 10076.607025146484375000, gpu ,  0 , dram ,  2451.669250488281250000, VMPEAK ,    8292 , time , 280337 
compiler , hermes-gengc , testcase , n-body , package , 13358.407577514648437500, core , 10144.216781616210937500, gpu ,  0 , dram ,  2452.881301879882812500, VMPEAK ,    8292 , time , 280573 
compiler , hermes-gengc , testcase , n-body , package , 13363.807083129882812500, core , 10146.675735473632812500, gpu ,  0 , dram ,  -63080.356124877929687500, VMPEAK ,    8292 , time , 280786 
compiler , hermes-gengc , testcase , n-body , package , -52189.393692016601562500, core , -55402.439010620117187500, gpu ,  0 , dram ,  2452.343139648437500000, VMPEAK ,    8292 , time , 280449 
compiler , hermes-gengc , testcase , n-body , package , 13344.068664550781250000, core , 10132.133728027343750000, gpu ,  0 , dram ,  2449.079223632812500000, VMPEAK ,    8292 , time , 280307 
compiler , hermes-gengc , testcase , n-body , package , 13367.803726196289062500, core , 10153.972198486328125000, gpu ,  0 , dram ,  2446.250900268554687500, VMPEAK ,    8292 , time , 280481 
compiler , hermes-gengc , testcase , n-body , package , 13386.988098144531250000, core , 10169.250793457031250000, gpu ,  0 , dram ,  2456.318038940429687500, VMPEAK ,    8292 , time , 280829 
compiler , hermes-gengc , testcase , n-body , package , 13353.505722045898437500, core , 10139.464889526367187500, gpu ,  0 , dram ,  2451.998199462890625000, VMPEAK ,    8292 , time , 280454 
compiler , hermes-gengc , testcase , n-body , package , -52164.496902465820312500, core , 10155.740921020507812500, gpu ,  0 , dram ,  2453.954391479492187500, VMPEAK ,    8292 , time , 280642 
compiler , hermes-gengc , testcase , n-body , package , 13389.243988037109375000, core , 10175.050369262695312500, gpu ,  0 , dram ,  2454.317138671875000000, VMPEAK ,    8292 , time , 280668 
