Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-malloc , testcase , n-body , package , 7435.205169677734375000, core , 4776.018142700195312500, gpu ,  0 , dram ,  949.203002929687500000, VMPEAK ,    8236 , time , 183154 
compiler , hermes-malloc , testcase , n-body , package , 7552.620208740234375000, core , 4889.050827026367187500, gpu ,  0 , dram ,  950.258697509765625000, VMPEAK ,    8236 , time , 182484 
compiler , hermes-malloc , testcase , n-body , package , 7654.800552368164062500, core , 4956.571090698242187500, gpu ,  0 , dram ,  968.301300048828125000, VMPEAK ,    8236 , time , 184235 
compiler , hermes-malloc , testcase , n-body , package , 7640.254653930664062500, core , 4946.552810668945312500, gpu ,  0 , dram ,  967.922180175781250000, VMPEAK ,    8236 , time , 183552 
compiler , hermes-malloc , testcase , n-body , package , 7580.590362548828125000, core , 4909.885650634765625000, gpu ,  0 , dram ,  949.108078002929687500, VMPEAK ,    8236 , time , 181929 
compiler , hermes-malloc , testcase , n-body , package , 7623.342010498046875000, core , 4936.824722290039062500, gpu ,  0 , dram ,  953.957107543945312500, VMPEAK ,    8236 , time , 183016 
compiler , hermes-malloc , testcase , n-body , package , 7750.355010986328125000, core , 5019.778320312500000000, gpu ,  0 , dram ,  973.255340576171875000, VMPEAK ,    8236 , time , 186028 
compiler , hermes-malloc , testcase , n-body , package , 7754.684707641601562500, core , 5023.010070800781250000, gpu ,  0 , dram ,  970.096054077148437500, VMPEAK ,    8236 , time , 186150 
compiler , hermes-malloc , testcase , n-body , package , -57800.591384887695312500, core , 5010.719741821289062500, gpu ,  0 , dram ,  970.284881591796875000, VMPEAK ,    8236 , time , 185643 
compiler , hermes-malloc , testcase , n-body , package , 7716.676498413085937500, core , 5000.820098876953125000, gpu ,  0 , dram ,  968.713394165039062500, VMPEAK ,    8236 , time , 185030 
