Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-24 , testcase , n-body , package , 524.227935791015625000, core , 395.874618530273437500, gpu ,  0 , dram ,  98.618576049804687500, VMPEAK ,    8292 , time , 11285 
compiler , js-24 , testcase , n-body , package , 524.811965942382812500, core , 396.688201904296875000, gpu ,  0 , dram ,  98.477111816406250000, VMPEAK ,    8292 , time , 11262 
compiler , js-24 , testcase , n-body , package , -64979.415512084960937500, core , 420.515411376953125000, gpu ,  0 , dram ,  104.512313842773437500, VMPEAK ,    8292 , time , 11952 
compiler , js-24 , testcase , n-body , package , 557.231109619140625000, core , 421.177688598632812500, gpu ,  0 , dram ,  104.503616333007812500, VMPEAK ,    8292 , time , 11942 
compiler , js-24 , testcase , n-body , package , 523.850921630859375000, core , 396.118576049804687500, gpu ,  0 , dram ,  97.990234375000000000, VMPEAK ,    8292 , time , 11200 
compiler , js-24 , testcase , n-body , package , 556.586425781250000000, core , 420.825622558593750000, gpu ,  0 , dram ,  104.202758789062500000, VMPEAK ,    8292 , time , 11897 
compiler , js-24 , testcase , n-body , package , 531.918533325195312500, core , 402.577682495117187500, gpu ,  0 , dram ,  99.132415771484375000, VMPEAK ,    8292 , time , 11333 
compiler , js-24 , testcase , n-body , package , 559.860794067382812500, core , 423.566375732421875000, gpu ,  0 , dram ,  104.423263549804687500, VMPEAK ,    8292 , time , 11937 
compiler , js-24 , testcase , n-body , package , 535.710510253906250000, core , 405.665359497070312500, gpu ,  0 , dram ,  99.590805053710937500, VMPEAK ,    8292 , time , 11385 
compiler , js-24 , testcase , n-body , package , 518.888992309570312500, core , 393.061462402343750000, gpu ,  0 , dram ,  96.404998779296875000, VMPEAK ,    8292 , time , 11014 
