Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jsc , testcase , n-body , package , 97.295898437500000000, core , 59.211578369140625000, gpu ,  0 , dram ,  13.631027221679687500, VMPEAK ,    8236 , time , 2644 
compiler , jsc , testcase , n-body , package , 97.932647705078125000, core , 60.970458984375000000, gpu ,  0 , dram ,  13.136016845703125000, VMPEAK ,    8236 , time , 2565 
compiler , jsc , testcase , n-body , package , 96.904205322265625000, core , 60.364929199218750000, gpu ,  0 , dram ,  12.960388183593750000, VMPEAK ,    8236 , time , 2533 
compiler , jsc , testcase , n-body , package , 96.702941894531250000, core , 60.254806518554687500, gpu ,  0 , dram ,  12.857116699218750000, VMPEAK ,    8236 , time , 2528 
compiler , jsc , testcase , n-body , package , 98.299865722656250000, core , 61.265396118164062500, gpu ,  0 , dram ,  13.235488891601562500, VMPEAK ,    8236 , time , 2566 
compiler , jsc , testcase , n-body , package , 97.335784912109375000, core , 60.698837280273437500, gpu ,  0 , dram ,  13.021911621093750000, VMPEAK ,    8236 , time , 2538 
compiler , jsc , testcase , n-body , package , 100.529098510742187500, core , 62.677032470703125000, gpu ,  0 , dram ,  13.294784545898437500, VMPEAK ,    8236 , time , 2621 
compiler , jsc , testcase , n-body , package , 97.628311157226562500, core , 60.903472900390625000, gpu ,  0 , dram ,  12.917648315429687500, VMPEAK ,    8236 , time , 2542 
compiler , jsc , testcase , n-body , package , 97.735229492187500000, core , 61.005340576171875000, gpu ,  0 , dram ,  12.934356689453125000, VMPEAK ,    8236 , time , 2542 
compiler , jsc , testcase , n-body , package , 97.089797973632812500, core , 60.632049560546875000, gpu ,  0 , dram ,  12.697723388671875000, VMPEAK ,    8236 , time , 2523 
