Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , espruino , testcase , ray-tracing , package , 1456.127258300781250000, core , 930.859008789062500000, gpu ,  0 , dram ,  186.471694946289062500, VMPEAK ,    8236 , time , 36014 
compiler , espruino , testcase , ray-tracing , package , 1459.602310180664062500, core , 936.296752929687500000, gpu ,  0 , dram ,  185.080413818359375000, VMPEAK ,    8236 , time , 35908 
compiler , espruino , testcase , ray-tracing , package , 1461.501190185546875000, core , 939.318267822265625000, gpu ,  0 , dram ,  184.245468139648437500, VMPEAK ,    8236 , time , 35808 
compiler , espruino , testcase , ray-tracing , package , 1463.576583862304687500, core , 940.534317016601562500, gpu ,  0 , dram ,  186.790710449218750000, VMPEAK ,    8236 , time , 35808 
compiler , espruino , testcase , ray-tracing , package , 1462.164550781250000000, core , 940.863143920898437500, gpu ,  0 , dram ,  185.299804687500000000, VMPEAK ,    8236 , time , 35658 
compiler , espruino , testcase , ray-tracing , package , 1465.167953491210937500, core , 941.749588012695312500, gpu ,  0 , dram ,  186.307220458984375000, VMPEAK ,    8236 , time , 35761 
compiler , espruino , testcase , ray-tracing , package , 1466.628112792968750000, core , 942.402511596679687500, gpu ,  0 , dram ,  185.603225708007812500, VMPEAK ,    8236 , time , 35810 
compiler , espruino , testcase , ray-tracing , package , 1463.166427612304687500, core , 940.264282226562500000, gpu ,  0 , dram ,  184.021484375000000000, VMPEAK ,    8236 , time , 35707 
compiler , espruino , testcase , ray-tracing , package , 1462.787918090820312500, core , 939.506591796875000000, gpu ,  0 , dram ,  184.754806518554687500, VMPEAK ,    8236 , time , 35709 
compiler , espruino , testcase , ray-tracing , package , 1467.805343627929687500, core , 942.806335449218750000, gpu ,  0 , dram ,  187.099639892578125000, VMPEAK ,    8236 , time , 35812 
