Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jerry-6m , testcase , ray-tracing , package , 95.907928466796875000, core , 73.004913330078125000, gpu ,  0 , dram ,  17.645812988281250000, VMPEAK ,    8292 , time , 2014 
compiler , jerry-6m , testcase , ray-tracing , package , 96.463272094726562500, core , 73.512008666992187500, gpu ,  0 , dram ,  17.663436889648437500, VMPEAK ,    8292 , time , 2016 
compiler , jerry-6m , testcase , ray-tracing , package , 96.565673828125000000, core , 73.585662841796875000, gpu ,  0 , dram ,  17.575241088867187500, VMPEAK ,    8292 , time , 2019 
compiler , jerry-6m , testcase , ray-tracing , package , 96.889419555664062500, core , 73.857498168945312500, gpu ,  0 , dram ,  17.743591308593750000, VMPEAK ,    8292 , time , 2024 
compiler , jerry-6m , testcase , ray-tracing , package , 98.109130859375000000, core , 74.713455200195312500, gpu ,  0 , dram ,  17.981460571289062500, VMPEAK ,    8292 , time , 2055 
compiler , jerry-6m , testcase , ray-tracing , package , 97.537704467773437500, core , 74.352142333984375000, gpu ,  0 , dram ,  17.849639892578125000, VMPEAK ,    8292 , time , 2037 
compiler , jerry-6m , testcase , ray-tracing , package , 97.073791503906250000, core , 73.983657836914062500, gpu ,  0 , dram ,  17.742736816406250000, VMPEAK ,    8292 , time , 2029 
compiler , jerry-6m , testcase , ray-tracing , package , 97.010025024414062500, core , 73.921386718750000000, gpu ,  0 , dram ,  17.796386718750000000, VMPEAK ,    8292 , time , 2029 
compiler , jerry-6m , testcase , ray-tracing , package , 97.806365966796875000, core , 74.527877807617187500, gpu ,  0 , dram ,  17.902221679687500000, VMPEAK ,    8292 , time , 2045 
compiler , jerry-6m , testcase , ray-tracing , package , 98.694381713867187500, core , 75.180892944335937500, gpu ,  0 , dram ,  18.009017944335937500, VMPEAK ,    8292 , time , 2065 
