Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-24 , testcase , ray-tracing , package , 39.465332031250000000, core , 25.330566406250000000, gpu ,  0 , dram ,  6.107971191406250000, VMPEAK ,    8236 , time , 968 
compiler , js-24 , testcase , ray-tracing , package , 37.455230712890625000, core , 24.176925659179687500, gpu ,  0 , dram ,  5.716461181640625000, VMPEAK ,    8236 , time , 908 
compiler , js-24 , testcase , ray-tracing , package , 37.651062011718750000, core , 24.319381713867187500, gpu ,  0 , dram ,  5.761291503906250000, VMPEAK ,    8236 , time , 910 
compiler , js-24 , testcase , ray-tracing , package , 38.563919067382812500, core , 24.907531738281250000, gpu ,  0 , dram ,  5.857177734375000000, VMPEAK ,    8236 , time , 933 
compiler , js-24 , testcase , ray-tracing , package , 40.371597290039062500, core , 26.040786743164062500, gpu ,  0 , dram ,  6.202331542968750000, VMPEAK ,    8236 , time , 978 
compiler , js-24 , testcase , ray-tracing , package , 38.683059692382812500, core , 24.984664916992187500, gpu ,  0 , dram ,  5.939514160156250000, VMPEAK ,    8236 , time , 936 
compiler , js-24 , testcase , ray-tracing , package , 40.861557006835937500, core , 26.399871826171875000, gpu ,  0 , dram ,  6.262283325195312500, VMPEAK ,    8236 , time , 988 
compiler , js-24 , testcase , ray-tracing , package , 38.085449218750000000, core , 24.624389648437500000, gpu ,  0 , dram ,  5.766342163085937500, VMPEAK ,    8236 , time , 920 
compiler , js-24 , testcase , ray-tracing , package , 37.826126098632812500, core , 24.437393188476562500, gpu ,  0 , dram ,  5.711624145507812500, VMPEAK ,    8236 , time , 915 
compiler , js-24 , testcase , ray-tracing , package , 38.376892089843750000, core , 24.795639038085937500, gpu ,  0 , dram ,  5.747573852539062500, VMPEAK ,    8236 , time , 928 
