 engine bench mean min max variance standard-deviation
ch-jit binary-trees 129.75 113.0 136.0 51.1875 7.1545440106270926
ch-nojit binary-trees 730.6666666666666 721.0 739.0 42.66666666666667 6.531972647421808
d8-d8 binary-trees 24.25 24.0 25.0 0.1875 0.4330127018922193
d8-d8 binary-trees 147.375 146.0 150.0 1.734375 1.3169567191065923
duk binary-trees 747.0 741.0 757.0 25.5 5.049752469181039
espruino binary-trees 5.0 5.0 5.0 0.0 0.0
hermes-gengc binary-trees 23390.88888888889 23342.0 23429.0 570.5432098765432 23.886046342510163
hermes-hades binary-trees 17941.88888888889 17901.0 17981.0 772.5432098765432 27.79466153556368
hermes-malloc binary-trees 17249.555555555555 17193.0 17351.0 2990.2469135802467 54.68315017974226
jerry-512k binary-trees 742.0 739.0 747.0 8.0 2.8284271247461903
jerry-6m binary-trees 779.0 776.0 783.0 4.222222222222222 2.0548046676563256
js-24-js binary-trees 42.875 42.0 43.0 0.109375 0.33071891388307384
js-24-js binary-trees 528.6666666666666 522.0 541.0 39.33333333333334 6.271629240742261
js-52-js binary-trees 51.125 51.0 52.0 0.109375 0.33071891388307384
js-52-js binary-trees 1405.0 1398.0 1419.0 40.44444444444444 6.3595946761129705
jsc-jsc binary-trees 48.0 46.0 51.0 2.0 1.4142135623730951
jsc-jsc binary-trees 190.0 187.0 197.0 8.5 2.9154759474226504
js-js binary-trees 436.1111111111111 414.0 472.0 304.7654320987654 17.457532245388105
js-js binary-trees 445.44444444444446 413.0 507.0 743.1358024691358 27.260517281760002
mujs binary-trees 639.8888888888889 626.0 653.0 76.32098765432097 8.736188393934793
node-node binary-trees 67.25 67.0 68.0 0.1875 0.4330127018922193
node-node binary-trees 188.5 188.0 189.0 0.25 0.5
qjs binary-trees 268.3333333333333 265.0 277.0 14.222222222222221 3.7712361663282534
rhino-jit binary-trees 1331.2222222222222 1143.0 1566.0 22633.283950617286 150.44362382838725
rhino-nojit binary-trees 16541.777777777777 16337.0 16772.0 17192.17283950617 131.11892632074964
ch-jit fannkuch-redux 59.333333333333336 54.0 65.0 8.888888888888891 2.98142396999972
ch-nojit fannkuch-redux 1290.888888888889 1282.0 1308.0 77.20987654320987 8.786915075452242
