Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , ch-jit , testcase , spectral-norm , package , 18.385192871093750000, core , 7.829269409179687500, gpu ,  0 , dram ,  3.895233154296875000, VMPEAK ,    8236 , time , 732 
compiler , ch-jit , testcase , spectral-norm , package , 16.586700439453125000, core , 10.233993530273437500, gpu ,  0 , dram ,  2.352584838867187500, VMPEAK ,    8236 , time , 439 
compiler , ch-jit , testcase , spectral-norm , package , 16.639419555664062500, core , 10.292938232421875000, gpu ,  0 , dram ,  2.331924438476562500, VMPEAK ,    8236 , time , 440 
compiler , ch-jit , testcase , spectral-norm , package , 15.454299926757812500, core , 9.568222045898437500, gpu ,  0 , dram ,  2.157897949218750000, VMPEAK ,    8236 , time , 407 
compiler , ch-jit , testcase , spectral-norm , package , 16.369613647460937500, core , 10.131484985351562500, gpu ,  0 , dram ,  2.324066162109375000, VMPEAK ,    8236 , time , 433 
compiler , ch-jit , testcase , spectral-norm , package , 15.423965454101562500, core , 9.531723022460937500, gpu ,  0 , dram ,  2.214309692382812500, VMPEAK ,    8236 , time , 407 
compiler , ch-jit , testcase , spectral-norm , package , 15.514251708984375000, core , 9.577865600585937500, gpu ,  0 , dram ,  2.217834472656250000, VMPEAK ,    8236 , time , 411 
compiler , ch-jit , testcase , spectral-norm , package , 16.422286987304687500, core , 10.140090942382812500, gpu ,  0 , dram ,  2.367034912109375000, VMPEAK ,    8236 , time , 436 
compiler , ch-jit , testcase , spectral-norm , package , 18.121948242187500000, core , 11.251113891601562500, gpu ,  0 , dram ,  2.591339111328125000, VMPEAK ,    8236 , time , 475 
compiler , ch-jit , testcase , spectral-norm , package , 15.895401000976562500, core , 9.842590332031250000, gpu ,  0 , dram ,  2.271087646484375000, VMPEAK ,    8236 , time , 421 
