Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-gengc , testcase , spectral-norm , package , 7612.480392456054687500, core , 5776.939193725585937500, gpu ,  0 , dram ,  1406.558563232421875000, VMPEAK ,    8292 , time , 160920 
compiler , hermes-gengc , testcase , spectral-norm , package , 7610.320434570312500000, core , 5780.578445434570312500, gpu ,  0 , dram ,  1389.659011840820312500, VMPEAK ,    8292 , time , 159982 
compiler , hermes-gengc , testcase , spectral-norm , package , 7626.263336181640625000, core , 5795.098373413085937500, gpu ,  0 , dram ,  1396.928146362304687500, VMPEAK ,    8292 , time , 160091 
compiler , hermes-gengc , testcase , spectral-norm , package , 7628.402770996093750000, core , 5796.377944946289062500, gpu ,  0 , dram ,  1395.782516479492187500, VMPEAK ,    8292 , time , 160046 
compiler , hermes-gengc , testcase , spectral-norm , package , 7644.470336914062500000, core , 5810.966674804687500000, gpu ,  0 , dram ,  1393.255233764648437500, VMPEAK ,    8292 , time , 160178 
compiler , hermes-gengc , testcase , spectral-norm , package , 7685.208984375000000000, core , -59697.226699829101562500, gpu ,  0 , dram ,  1399.496322631835937500, VMPEAK ,    8292 , time , 161281 
compiler , hermes-gengc , testcase , spectral-norm , package , -57897.487670898437500000, core , 5806.213836669921875000, gpu ,  0 , dram ,  1386.997573852539062500, VMPEAK ,    8292 , time , 160058 
compiler , hermes-gengc , testcase , spectral-norm , package , 7647.715927124023437500, core , 5811.897567749023437500, gpu ,  0 , dram ,  1383.721679687500000000, VMPEAK ,    8292 , time , 160315 
compiler , hermes-gengc , testcase , spectral-norm , package , 7685.822143554687500000, core , 5842.210845947265625000, gpu ,  0 , dram ,  1404.567810058593750000, VMPEAK ,    8292 , time , 160989 
compiler , hermes-gengc , testcase , spectral-norm , package , 7677.494598388671875000, core , 5834.881423950195312500, gpu ,  0 , dram ,  1399.804916381835937500, VMPEAK ,    8292 , time , 160868 
