Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-malloc , testcase , spectral-norm , package , 7662.609237670898437500, core , 4897.742431640625000000, gpu ,  0 , dram ,  985.065612792968750000, VMPEAK ,    8236 , time , 190984 
compiler , hermes-malloc , testcase , spectral-norm , package , 7840.873046875000000000, core , 5061.810272216796875000, gpu ,  0 , dram ,  993.246170043945312500, VMPEAK ,    8236 , time , 190892 
compiler , hermes-malloc , testcase , spectral-norm , package , 7891.191940307617187500, core , 5105.581024169921875000, gpu ,  0 , dram ,  1002.135696411132812500, VMPEAK ,    8236 , time , 190550 
compiler , hermes-malloc , testcase , spectral-norm , package , 7904.166198730468750000, core , 5115.620162963867187500, gpu ,  0 , dram ,  999.351287841796875000, VMPEAK ,    8236 , time , 190508 
compiler , hermes-malloc , testcase , spectral-norm , package , 7953.053192138671875000, core , 5144.410568237304687500, gpu ,  0 , dram ,  1003.419586181640625000, VMPEAK ,    8236 , time , 191803 
compiler , hermes-malloc , testcase , spectral-norm , package , 7905.645401000976562500, core , 5119.252929687500000000, gpu ,  0 , dram ,  990.163330078125000000, VMPEAK ,    8236 , time , 190358 
compiler , hermes-malloc , testcase , spectral-norm , package , 7915.263473510742187500, core , 5120.842681884765625000, gpu ,  0 , dram ,  988.547790527343750000, VMPEAK ,    8236 , time , 190861 
compiler , hermes-malloc , testcase , spectral-norm , package , -57646.426086425781250000, core , -60434.546417236328125000, gpu ,  0 , dram ,  987.211868286132812500, VMPEAK ,    8236 , time , 190356 
compiler , hermes-malloc , testcase , spectral-norm , package , 7917.810668945312500000, core , 5127.386657714843750000, gpu ,  0 , dram ,  1012.150848388671875000, VMPEAK ,    8236 , time , 190645 
compiler , hermes-malloc , testcase , spectral-norm , package , 7966.020462036132812500, core , 5154.745376586914062500, gpu ,  0 , dram ,  1011.389617919921875000, VMPEAK ,    8236 , time , 192011 
