Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , mujs , testcase , spectral-norm , package , 1483.653793334960937500, core , 1117.386581420898437500, gpu ,  0 , dram ,  281.694015502929687500, VMPEAK ,    8292 , time , 32198 
compiler , mujs , testcase , spectral-norm , package , 1539.842758178710937500, core , 1161.208999633789062500, gpu ,  0 , dram ,  290.908599853515625000, VMPEAK ,    8292 , time , 33231 
compiler , mujs , testcase , spectral-norm , package , 1480.504028320312500000, core , 1117.129776000976562500, gpu ,  0 , dram ,  278.501724243164062500, VMPEAK ,    8292 , time , 31849 
compiler , mujs , testcase , spectral-norm , package , 1519.907409667968750000, core , 1147.560256958007812500, gpu ,  0 , dram ,  285.259719848632812500, VMPEAK ,    8292 , time , 32616 
compiler , mujs , testcase , spectral-norm , package , 1505.458206176757812500, core , 1136.894851684570312500, gpu ,  0 , dram ,  282.588989257812500000, VMPEAK ,    8292 , time , 32283 
compiler , mujs , testcase , spectral-norm , package , 1499.556915283203125000, core , 1131.953979492187500000, gpu ,  0 , dram ,  281.761169433593750000, VMPEAK ,    8292 , time , 32182 
compiler , mujs , testcase , spectral-norm , package , 1491.742187500000000000, core , 1125.904067993164062500, gpu ,  0 , dram ,  280.100082397460937500, VMPEAK ,    8292 , time , 32017 
compiler , mujs , testcase , spectral-norm , package , 1496.545516967773437500, core , 1129.588043212890625000, gpu ,  0 , dram ,  280.948120117187500000, VMPEAK ,    8292 , time , 32112 
compiler , mujs , testcase , spectral-norm , package , 1503.685394287109375000, core , 1135.242919921875000000, gpu ,  0 , dram ,  281.976882934570312500, VMPEAK ,    8292 , time , 32237 
compiler , mujs , testcase , spectral-norm , package , 1510.092544555664062500, core , 1140.493179321289062500, gpu ,  0 , dram ,  283.077011108398437500, VMPEAK ,    8292 , time , 32349 
