Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , rhino-jit , testcase , spectral-norm , package , 190.064346313476562500, core , 142.257888793945312500, gpu ,  0 , dram ,  39.095932006835937500, VMPEAK ,    8292 , time , 4069 
compiler , rhino-jit , testcase , spectral-norm , package , 189.882949829101562500, core , 142.002288818359375000, gpu ,  0 , dram ,  39.180282592773437500, VMPEAK ,    8292 , time , 4074 
compiler , rhino-jit , testcase , spectral-norm , package , 191.346939086914062500, core , 143.132934570312500000, gpu ,  0 , dram ,  39.159378051757812500, VMPEAK ,    8292 , time , 4102 
compiler , rhino-jit , testcase , spectral-norm , package , 190.037139892578125000, core , 142.226104736328125000, gpu ,  0 , dram ,  39.056381225585937500, VMPEAK ,    8292 , time , 4068 
compiler , rhino-jit , testcase , spectral-norm , package , 191.407592773437500000, core , 143.251373291015625000, gpu ,  0 , dram ,  39.267242431640625000, VMPEAK ,    8292 , time , 4097 
compiler , rhino-jit , testcase , spectral-norm , package , 192.235015869140625000, core , 143.864532470703125000, gpu ,  0 , dram ,  39.306930541992187500, VMPEAK ,    8292 , time , 4114 
compiler , rhino-jit , testcase , spectral-norm , package , 192.786819458007812500, core , 144.251464843750000000, gpu ,  0 , dram ,  39.326766967773437500, VMPEAK ,    8292 , time , 4126 
compiler , rhino-jit , testcase , spectral-norm , package , 196.036697387695312500, core , 146.759887695312500000, gpu ,  0 , dram ,  40.079513549804687500, VMPEAK ,    8292 , time , 4189 
compiler , rhino-jit , testcase , spectral-norm , package , 191.751098632812500000, core , 143.574157714843750000, gpu ,  0 , dram ,  39.011276245117187500, VMPEAK ,    8292 , time , 4091 
compiler , rhino-jit , testcase , spectral-norm , package , 191.137329101562500000, core , 143.132965087890625000, gpu ,  0 , dram ,  38.903182983398437500, VMPEAK ,    8292 , time , 4074 
