Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js , testcase , strconcat , package , 72.548568725585937500, core , 54.117294311523437500, gpu ,  0 , dram ,  15.134216308593750000, VMPEAK ,    8292 , time , 1576 
compiler , js , testcase , strconcat , package , 72.197052001953125000, core , 53.928604125976562500, gpu ,  0 , dram ,  14.945205688476562500, VMPEAK ,    8292 , time , 1561 
compiler , js , testcase , strconcat , package , 72.398605346679687500, core , 54.084289550781250000, gpu ,  0 , dram ,  15.001464843750000000, VMPEAK ,    8292 , time , 1563 
compiler , js , testcase , strconcat , package , 72.948669433593750000, core , 54.492752075195312500, gpu ,  0 , dram ,  15.096252441406250000, VMPEAK ,    8292 , time , 1575 
compiler , js , testcase , strconcat , package , 72.868850708007812500, core , 54.432662963867187500, gpu ,  0 , dram ,  15.036987304687500000, VMPEAK ,    8292 , time , 1573 
compiler , js , testcase , strconcat , package , 73.512008666992187500, core , 54.911483764648437500, gpu ,  0 , dram ,  15.246643066406250000, VMPEAK ,    8292 , time , 1588 
compiler , js , testcase , strconcat , package , 72.872436523437500000, core , 54.437362670898437500, gpu ,  0 , dram ,  15.047286987304687500, VMPEAK ,    8292 , time , 1574 
compiler , js , testcase , strconcat , package , 72.548782348632812500, core , 54.198867797851562500, gpu ,  0 , dram ,  15.051544189453125000, VMPEAK ,    8292 , time , 1565 
compiler , js , testcase , strconcat , package , 72.390380859375000000, core , 54.097915649414062500, gpu ,  0 , dram ,  14.940216064453125000, VMPEAK ,    8292 , time , 1561 
compiler , js , testcase , strconcat , package , 72.245727539062500000, core , 53.995910644531250000, gpu ,  0 , dram ,  14.953247070312500000, VMPEAK ,    8292 , time , 1556 
