Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jsc , testcase , strconcat , package , 17.109130859375000000, core , 12.720901489257812500, gpu ,  0 , dram ,  3.756134033203125000, VMPEAK ,    8292 , time , 369 
compiler , jsc , testcase , strconcat , package , 17.347045898437500000, core , 12.932418823242187500, gpu ,  0 , dram ,  3.741912841796875000, VMPEAK ,    8292 , time , 371 
compiler , jsc , testcase , strconcat , package , 16.992385864257812500, core , 12.666793823242187500, gpu ,  0 , dram ,  3.688018798828125000, VMPEAK ,    8292 , time , 364 
compiler , jsc , testcase , strconcat , package , 17.093978881835937500, core , 12.744705200195312500, gpu ,  0 , dram ,  3.697601318359375000, VMPEAK ,    8292 , time , 365 
compiler , jsc , testcase , strconcat , package , 17.458404541015625000, core , 13.018630981445312500, gpu ,  0 , dram ,  3.762252807617187500, VMPEAK ,    8292 , time , 372 
compiler , jsc , testcase , strconcat , package , 17.279388427734375000, core , 12.885910034179687500, gpu ,  0 , dram ,  3.716903686523437500, VMPEAK ,    8292 , time , 370 
compiler , jsc , testcase , strconcat , package , 17.057968139648437500, core , 12.718154907226562500, gpu ,  0 , dram ,  3.694946289062500000, VMPEAK ,    8292 , time , 364 
compiler , jsc , testcase , strconcat , package , 17.349319458007812500, core , 12.940490722656250000, gpu ,  0 , dram ,  3.755798339843750000, VMPEAK ,    8292 , time , 371 
compiler , jsc , testcase , strconcat , package , 17.031494140625000000, core , 12.702102661132812500, gpu ,  0 , dram ,  3.688873291015625000, VMPEAK ,    8292 , time , 363 
compiler , jsc , testcase , strconcat , package , 17.436843872070312500, core , 13.005264282226562500, gpu ,  0 , dram ,  3.737945556640625000, VMPEAK ,    8292 , time , 371 
